name,width,height,label,points,xmin,xmax,ymin,ymax,label2,Xcent,Ycent,boxW,boxH
images/0.png,1200.0,621.0,parking_space,"[(54.8, 9.1), (137.9, 7.6), (141.12, 204.87), (55.8, 205.7)]",54.8,141.12,7.6,205.7,0,0.08163333333333334,0.1717391304347826,0.07193333333333334,0.31900161030595814
images/0.png,1200.0,621.0,parking_space,"[(0.0, 415.4), (52.0, 415.0), (53.91, 607.66), (0.0, 608.18)]",0.0,53.91,415.0,608.18,0,0.0224625,0.8238164251207729,0.044925,0.3110789049919484
images/0.png,1200.0,621.0,parking_space,"[(-0.0, 7.58), (52.61, 6.63), (55.83, 203.9), (-0.0, 204.44)]",-0.0,55.83,6.63,204.44,0,0.0232625,0.16994363929146536,0.046525,0.31853462157809986
images/0.png,1200.0,621.0,parking_space,"[(1109.84, 2.86), (1196.26, 2.62), (1197.67, 198.59), (1110.31, 198.59)]",1109.84,1197.67,2.62,198.59,0,0.9614625000000001,0.1620048309178744,0.0731916666666668,0.31557165861513686
images/0.png,1200.0,621.0,parking_space,"[(1021.69, 3.21), (1108.11, 2.98), (1109.53, 198.95), (1022.17, 198.95)]",1021.69,1109.53,2.98,198.95,0,0.8880083333333334,0.1625845410628019,0.07319999999999993,0.31557165861513686
images/0.png,1200.0,621.0,parking_space,"[(842.54, 4.65), (928.95, 4.41), (930.37, 200.38), (843.01, 200.38)]",842.54,930.37,4.41,200.38,0,0.7387125,0.16488727858293076,0.0731916666666667,0.31557165861513686
images/0.png,1200.0,621.0,parking_space,"[(486.89, 416.75), (573.31, 416.51), (574.72, 612.48), (487.36, 612.48)]",486.89,574.72,416.51,612.48,0,0.44233750000000005,0.8284943639291465,0.0731916666666667,0.3155716586151369
images/0.png,1200.0,621.0,parking_space,"[(140.4, 414.2), (223.73, 414.8), (225.15, 610.77), (141.3, 609.3)]",140.4,225.15,414.2,610.77,0,0.15231250000000002,0.8252576489533011,0.070625,0.31653784219001607
images/0.png,1200.0,621.0,parking_space,"[(53.11, 413.57), (139.52, 413.33), (140.94, 609.31), (53.58, 609.31)]",53.11,140.94,413.33,609.31,0,0.08085416666666667,0.8233816425120772,0.07319166666666667,0.31558776167471814
images/0.png,1200.0,621.0,parking_space,"[(1108.03, 420.56), (1193.97, 419.61), (1193.97, 615.59), (1108.97, 616.77)]",1108.03,1193.97,419.61,616.77,1,0.9591666666666666,0.8344444444444445,0.07161666666666672,0.31748792270531395
images/0.png,1200.0,621.0,parking_space,"[(1017.86, 416.89), (1103.8, 415.94), (1103.8, 611.91), (1018.8, 613.09)]",1017.86,1103.8,415.94,613.09,1,0.884025,0.8285265700483092,0.07161666666666662,0.31747181964573273
images/0.png,1200.0,621.0,parking_space,"[(929.73, 418.11), (1015.68, 417.17), (1015.68, 613.14), (930.68, 614.32)]",929.73,1015.68,417.17,614.32,1,0.8105874999999999,0.8305072463768116,0.07162499999999994,0.31747181964573273
images/0.png,1200.0,621.0,parking_space,"[(839.56, 417.3), (925.51, 416.35), (925.51, 612.32), (840.51, 613.5)]",839.56,925.51,416.35,613.5,1,0.7354458333333334,0.8291867954911433,0.07162500000000004,0.3174718196457327
images/0.png,1200.0,621.0,parking_space,"[(751.03, 416.89), (836.97, 415.94), (836.97, 611.91), (751.97, 613.09)]",751.03,836.97,415.94,613.09,1,0.6616666666666666,0.8285265700483092,0.07161666666666672,0.31747181964573273
